receiver_upi,receiver_txn_count_24h_mean,receiver_txn_count_24h_max,receiver_amount_sum_24h_mean,receiver_amount_sum_24h_max
merch10815@ybl,17.551724137931036,35,280629.20172413794,734743.0100000001
merch10820@okhdfcbank,23.32,42,156290.052,323492.05
merch10821@axl,20.607142857142858,40,314674.05821428576,667390.54
merch10835@axl,20.307692307692307,40,496537.4273076923,779599.42
merch10840@ybl,21.151515151515152,42,460306.58242424246,848020.2300000001
merch10850@ybl,16.875,38,149536.22208333333,300091.91
merch10859@paytm,17.40909090909091,35,132668.6281818182,359735.35
merch10862@axl,18.11111111111111,36,148198.80074074076,281472.58
merch10864@okicici,17.08,32,232716.27719999998,380892.29
merch10868@okicici,20.303030303030305,42,236387.15818181817,350604.66
merch10879@oksbi,19.933333333333334,38,44555.905333333336,124462.81
merch10888@axl,20.72,40,240480.7536,459105.69000000006
merch10895@okicici,22.176470588235293,46,116445.46794117648,353402.69
merch10901@paytm,16.153846153846153,34,216589.54,394159.18
merch10907@axl,19.76,37,426192.9032,610096.3500000001
merch10909@okhdfcbank,24.27777777777778,46,77279.97861111112,257266.83
merch10934@paytm,21.59259259259259,39,284513.79814814817,675221.7700000001
merch10941@okhdfcbank,15.375,31,226961.89,475590.91
merch10947@paytm,20.291666666666668,38,265740.8745833333,634228.98
merch1094@axl,18.153846153846153,35,491424.1880769231,737352.8
merch10950@okicici,14.681818181818182,31,120504.78681818182,237043.4
merch10953@okhdfcbank,15.28,31,167443.6784,366979.4199999999
merch10958@oksbi,20.533333333333335,40,193577.089,454545.74
merch10963@okhdfcbank,30.545454545454547,62,322100.4011363636,851159.55
merch10966@ybl,17.692307692307693,35,71267.99961538462,192669.85
merch11002@axl,14.05,28,282175.856,411277.71
merch11006@okhdfcbank,19.93103448275862,39,652323.7034482759,961920.42
merch11015@axl,22.821428571428573,44,227216.00714285715,439291.71
merch11027@paytm,24.322580645161292,44,100133.21612903227,215708.58
merch11040@oksbi,17.26923076923077,35,357125.6696153846,782112.3099999998
merch11046@okhdfcbank,19.214285714285715,39,434537.5742857143,723525.1400000001
merch11051@okicici,17.2,34,171611.7124,317706.92000000004
merch11052@ybl,15.0,35,218063.6944,438909.1
merch11057@oksbi,17.25,36,245064.55464285714,377428.83
merch11068@ybl,18.642857142857142,39,86772.76214285714,188742.06999999995
merch11101@oksbi,15.92,31,223600.83720000004,363493.86
merch11108@axl,20.375,37,201304.40166666664,276026.49
merch11108@okhdfcbank,14.210526315789474,26,253238.34052631582,499754.47
merch11110@ybl,18.096774193548388,38,200224.10483870967,539338.8600000001
merch11114@ybl,11.526315789473685,24,284963.6142105263,573052.46
merch11119@paytm,16.0,32,103870.35333333333,275704.95
merch1111@axl,23.96875,48,302226.830625,665540.4199999999
merch11148@ybl,22.870967741935484,42,215129.76096774192,345859.45
merch11176@ybl,13.904761904761905,28,127395.53047619048,238953.03
merch11219@okicici,17.533333333333335,35,89577.36933333332,208581.72
merch11222@paytm,11.444444444444445,23,54223.25333333333,123273.52
merch11223@okicici,17.40625,38,192104.6915625,414907.02
merch11223@paytm,19.458333333333332,37,91600.98625000002,268720.69
merch11224@paytm,21.225806451612904,39,140763.1735483871,353576.73
merch11236@paytm,16.055555555555557,35,79024.18777777777,298481.2699999999
merch1123@okhdfcbank,15.5,31,346430.575,542202.9099999999
merch11246@oksbi,15.578947368421053,32,48612.25052631579,88069.4
merch11247@oksbi,18.551724137931036,38,55641.43,121378.48
merch11248@ybl,15.785714285714286,31,84398.9207142857,141865.75999999995
merch11249@ybl,17.40740740740741,33,544102.367037037,819747.0500000002
merch1125@paytm,14.916666666666666,29,203630.58583333335,344116.76000000007
merch11273@okicici,15.73913043478261,30,89676.08391304349,118410.15
merch11295@okicici,14.523809523809524,27,110191.96714285715,238641.23
merch1129@okhdfcbank,21.23076923076923,38,178516.92807692307,238336.24
merch11304@oksbi,16.09090909090909,32,207603.19045454543,473143.97
merch11306@ybl,20.125,38,311384.7166666667,454985.59
merch11346@oksbi,20.076923076923077,38,302514.86576923076,501740.91
merch11348@okicici,12.117647058823529,28,86417.18000000001,284719.89
merch11349@oksbi,15.19047619047619,32,105172.29952380953,356482.92000000004
merch11367@paytm,20.142857142857142,36,185545.16857142857,295965.0399999999
merch11372@axl,20.3,38,109221.19066666666,197660.21
merch11384@oksbi,13.789473684210526,31,130063.55105263156,259173.98
merch11386@paytm,20.59259259259259,40,159255.3051851852,356262.81999999995
merch11426@okicici,19.9375,40,185137.54249999998,454138.59
merch11431@axl,23.82758620689655,46,354079.1372413793,568649.3799999999
merch11467@oksbi,23.03030303030303,43,468100.61424242426,702152.1900000001
merch11473@okhdfcbank,22.1,44,337083.96300000005,519130.37
merch11511@paytm,18.5,35,248520.06961538462,616342.5800000001
merch11534@okhdfcbank,16.857142857142858,32,212272.16571428571,472849.50000000006
merch11558@ybl,17.125,32,62826.65416666667,114193.26
merch11596@axl,20.852941176470587,42,202631.8723529412,420446.32
merch11607@ybl,17.40740740740741,34,72748.05592592593,134581.16
merch11619@okhdfcbank,17.458333333333332,34,445784.31666666665,851043.5700000001
merch11621@okhdfcbank,16.72222222222222,31,107446.77277777778,180361.49
merch11633@oksbi,23.875,46,378944.561875,591034.9000000001
merch1163@okhdfcbank,18.555555555555557,40,200676.98037037035,405358.4
merch11662@paytm,24.653846153846153,42,287390.6673076923,530033.81
merch11663@okhdfcbank,15.272727272727273,31,64437.56409090909,252267.37
merch11680@paytm,13.88888888888889,26,107668.59611111111,230281.71
merch11683@oksbi,15.846153846153847,30,138767.35153846155,419185.19
merch11686@paytm,19.74074074074074,40,33781.61629629629,81905.68
merch11691@axl,18.17391304347826,32,103819.00652173912,152337.51999999996
merch1169@axl,19.774193548387096,42,244001.07000000004,400443.46
merch11707@okhdfcbank,23.428571428571427,43,301903.82785714284,445787.31000000006
merch11707@ybl,18.846153846153847,36,166165.61423076922,405658.41
merch11712@ybl,14.72,32,102199.24960000001,317850.18000000005
merch11715@oksbi,15.76,32,69580.1136,265055.79
merch11728@okicici,25.5,48,378343.4353125,874103.39
merch11731@axl,16.37037037037037,32,97437.31037037037,366573.1
merch11745@paytm,21.676470588235293,43,462560.26,748073.84
merch11760@okhdfcbank,15.318181818181818,30,90281.43909090909,219633.54
merch11769@okhdfcbank,28.236842105263158,52,196277.9652631579,342623.1200000001
merch11782@okhdfcbank,21.291666666666668,39,159619.91083333333,303243.27
merch11796@axl,12.6875,25,84350.14375,124754.26
merch11807@ybl,14.555555555555555,28,474786.93166666664,760609.1
merch11826@oksbi,18.434782608695652,33,204779.07391304348,461947.91
merch11832@oksbi,16.952380952380953,34,255776.41761904763,458467.2900000001
merch11834@ybl,20.103448275862068,41,212143.94275862072,477607.4900000001
merch1183@axl,17.17391304347826,32,156563.35173913042,241646.52
merch11845@paytm,10.777777777777779,20,44583.458333333336,128300.2
merch11847@ybl,20.838709677419356,41,196454.50903225807,490461.32
merch1184@okicici,15.615384615384615,31,75272.28384615385,319882.97000000003
merch11862@axl,21.058823529411764,41,82456.52735294116,201602.46
merch11866@okicici,25.096774193548388,47,214608.10096774192,431981.48999999993
merch11872@ybl,22.689655172413794,40,398344.1565517241,626578.8299999998
merch11886@okhdfcbank,17.93103448275862,36,130272.3124137931,286144.54000000004
merch11895@oksbi,15.782608695652174,33,105309.36695652174,222736.42
merch1189@okicici,15.555555555555555,32,155413.82499999998,381478.45
merch11908@paytm,17.607142857142858,36,224480.0442857143,651999.2899999999
merch11910@oksbi,19.5,43,114191.47678571429,457412.65
merch11913@oksbi,13.285714285714286,27,103492.38857142856,167759.69999999998
merch11922@oksbi,22.275862068965516,44,255694.85103448277,468541.29
merch11928@okhdfcbank,19.1875,38,177471.38343750002,393246.86
merch11931@okicici,15.571428571428571,34,199336.4347619048,476577.58
merch11934@okicici,18.53846153846154,33,313186.73615384614,469868.31000000006
merch11952@paytm,17.615384615384617,34,72916.00538461539,280183.22000000003
merch11960@okhdfcbank,9.8125,22,81968.185625,320145.82
merch11965@axl,21.73913043478261,40,65703.3656521739,117866.28999999998
merch11967@okhdfcbank,14.791666666666666,29,60181.53416666666,86176.62999999998
merch11977@okicici,12.1875,25,124020.33687500002,174319.19
merch11991@paytm,19.821428571428573,43,97107.70214285713,168932.26
merch11995@axl,16.130434782608695,34,172672.43652173915,553777.55
merch12002@okicici,18.29032258064516,38,222858.51516129033,697714.8099999999
merch12023@axl,16.095238095238095,30,80988.90952380953,130909.35
merch12055@okhdfcbank,12.904761904761905,26,103203.76904761905,282372.48
merch1205@ybl,20.17241379310345,37,285553.90137931035,482474.0399999999
merch12063@oksbi,18.074074074074073,35,377730.76777777774,606318.6
merch12066@okhdfcbank,17.0,33,298401.69625,399107.7400000001
merch12075@okicici,13.954545454545455,32,352353.9477272727,682621.08
merch12091@oksbi,19.689655172413794,39,351573.33448275866,724749.9000000001
merch12093@ybl,18.56,34,225809.32760000002,391081.69000000006
merch12094@paytm,16.586206896551722,34,207502.61103448275,421293.81
merch12095@axl,14.7,28,109598.04699999999,229011.51
merch12101@ybl,15.083333333333334,31,332250.28250000003,633639.57
merch1211@oksbi,21.84375,41,99901.05562500001,192913.64
merch12123@okicici,18.96551724137931,39,190505.03758620692,376862.62
merch12135@ybl,15.625,29,175460.79125,302104.76
merch12143@oksbi,23.88235294117647,45,356482.41147058824,497113.03
merch12148@axl,13.5,25,231644.07636363636,333149.74999999994
merch12154@okicici,23.310344827586206,44,442233.8555172414,773720.1799999999
merch12156@okicici,17.375,31,373573.9075,574731.3799999999
merch12160@okicici,14.375,28,124220.23,239284.36
merch12164@axl,17.09090909090909,34,331198.63045454543,710045.97
merch12167@okhdfcbank,13.210526315789474,31,202993.0152631579,331726.94
merch12170@axl,16.869565217391305,35,285744.82217391307,484911.69
merch12171@okhdfcbank,21.307692307692307,41,506710.4465384616,764869.75
merch12202@ybl,14.176470588235293,26,54085.26294117647,255261.54
merch12226@okicici,14.35,29,224690.1145,333329.05
merch12226@oksbi,14.714285714285714,29,115366.50904761904,448167.72
merch12230@okhdfcbank,17.333333333333332,36,227142.79333333336,470346.09
merch12240@oksbi,21.258064516129032,41,352578.47709677415,606011.9500000001
merch12246@ybl,16.916666666666668,31,359766.94250000006,506187.58
merch12251@ybl,18.307692307692307,35,267549.04884615383,501152.97
merch12255@paytm,21.939393939393938,45,380544.613030303,744409.62
merch12273@okhdfcbank,23.57894736842105,47,232827.805,419481.0400000001
merch12301@paytm,22.228571428571428,47,360839.6628571429,847549.01
merch12304@axl,15.551724137931034,31,340156.2075862069,537788.7499999999
merch12330@ybl,19.37037037037037,38,241299.30444444442,494986.72
merch12340@paytm,15.714285714285714,33,364410.2723809524,714014.87
merch12341@ybl,15.263157894736842,32,232121.4110526316,379258.43000000005
merch12352@okicici,24.870967741935484,43,241271.02064516128,454493.59
merch12377@ybl,20.272727272727273,43,206369.756969697,383316.82000000007
merch1238@okhdfcbank,14.347826086956522,28,44254.57652173913,85844.42
merch12390@paytm,16.0,34,178920.86666666667,293226.5
merch12394@oksbi,24.129032258064516,45,197069.5958064516,385671.29
merch12399@axl,15.92,34,275375.2084,530946.26
merch12408@ybl,18.071428571428573,35,353015.20785714284,769722.06
merch12440@okhdfcbank,15.347826086956522,33,67288.04391304348,178444.09
merch12447@axl,13.15,28,229909.4285,370202.48
merch1244@okhdfcbank,10.846153846153847,28,71299.54384615386,164666.63000000003
merch12467@axl,17.08,34,110170.28360000001,471090.88
merch12480@axl,22.12121212121212,45,455049.06303030305,813568.4099999999
merch12526@okhdfcbank,19.914285714285715,40,192806.448,480289.99
merch12564@axl,16.52173913043478,33,123390.3904347826,271213.46
merch12565@paytm,24.35135135135135,49,279076.41000000003,725786.17
merch12573@okicici,18.333333333333332,36,66580.71208333333,142392.13999999998
merch12584@okhdfcbank,15.26086956521739,33,81965.28521739131,192763.06
merch12628@axl,20.0,40,266828.95172413794,557555.0399999999
merch12628@okicici,17.517241379310345,35,282391.3396551724,464993.21
merch12640@paytm,18.85,37,130363.57949999999,268545.25
merch12663@oksbi,18.72222222222222,33,271705.32499999995,425762.43
merch12748@paytm,13.454545454545455,31,152802.29636363636,318179.88
merch12752@ybl,11.823529411764707,24,130239.94647058823,283731.37
merch12755@okhdfcbank,23.424242424242426,48,293206.2054545455,686731.48
merch12844@ybl,21.766666666666666,42,172608.06633333335,247544.95
merch12885@axl,17.16,35,376586.3528,607897.8899999999
merch12885@paytm,21.620689655172413,41,74016.54586206898,227367.71
merch12913@oksbi,15.72,30,150666.2132,267241.22
merch12937@paytm,18.535714285714285,34,191880.70214285716,313592.55
merch12945@ybl,16.476190476190474,34,325382.07428571425,611245.0499999998
merch12952@okhdfcbank,17.04,34,113406.4052,197269.55
merch12957@ybl,16.166666666666668,32,135117.30208333334,263790.81
merch12969@okicici,13.75,27,121358.0865,349981.78
merch12971@oksbi,15.7,29,433226.0075,793024.24
merch13018@oksbi,21.88235294117647,43,120460.90323529411,320634.22
merch13020@paytm,17.208333333333332,33,84582.56250000001,203594.12
merch13084@axl,22.86111111111111,44,264527.9455555556,608998.5
merch13089@okhdfcbank,20.482758620689655,41,141872.57379310345,295042.1500000001
merch13100@oksbi,15.821428571428571,32,182178.23821428572,412107.66
merch13121@okicici,18.321428571428573,40,118270.86214285715,239561.16
merch13122@oksbi,17.037037037037038,35,192632.59,389016.97
merch13190@okicici,20.26086956521739,37,199649.54913043478,355922.01
merch13194@paytm,16.652173913043477,32,182322.13347826086,279653.05
merch13196@paytm,16.2,34,126728.0092,241826.19999999995
merch13197@axl,16.40909090909091,32,224225.1218181818,372817.74
merch13202@axl,15.130434782608695,31,219546.06739130433,534074.4900000001
merch13204@paytm,24.13157894736842,46,150197.03315789474,317680.39
merch13210@okhdfcbank,15.5,39,325546.1018181818,488031.72
merch13213@paytm,20.24137931034483,40,94188.91793103448,173646.06
merch13247@axl,24.735294117647058,47,183918.88088235294,419087.66
merch13264@paytm,17.04,35,183923.54320000001,397719.4
merch13270@axl,16.92,34,287013.3252,397488.28
merch13279@ybl,20.375,40,264890.9521875,478271.39
merch13303@okicici,14.38888888888889,32,123380.61500000002,313549.69
merch13318@paytm,24.642857142857142,43,412882.11,639926.2
merch13328@paytm,16.0,32,317048.6573913043,479951.56
merch13342@oksbi,17.185185185185187,33,143277.27925925926,272937.41000000003
merch13342@paytm,17.25,34,214577.81083333332,392976.9699999999
merch13359@oksbi,20.384615384615383,39,166626.61500000002,398515.99
merch13363@oksbi,8.8,19,44811.897,105301.83
merch13417@okicici,17.571428571428573,31,90311.32095238093,179570.53999999998
merch13420@axl,18.7,40,225829.90433333334,610739.4099999999
merch13420@oksbi,14.76923076923077,28,221007.52615384615,364146.04
merch13442@ybl,15.736842105263158,29,37139.195789473684,160358.90999999997
merch13453@axl,17.51851851851852,35,116738.26148148149,284579.14
merch13454@oksbi,14.157894736842104,30,38836.08105263158,116186.53
merch13501@axl,19.37037037037037,38,278991.0537037036,548185.1799999999
merch13550@okhdfcbank,16.28,35,90773.114,279317.72000000003
merch13552@ybl,26.4,55,228961.837,585196.15
merch13559@paytm,12.15,25,294155.32649999997,502679.02
merch13578@okicici,20.551724137931036,42,133714.48448275862,289747.43
merch13587@okicici,11.954545454545455,23,174017.12818181817,389518.89
merch13588@okhdfcbank,14.952380952380953,30,112661.87380952381,394761.07000000007
merch13644@okhdfcbank,19.689655172413794,40,314113.3475862069,605744.97
merch13651@okhdfcbank,16.95,31,164303.09850000002,307645.33
merch13661@oksbi,16.03846153846154,34,193010.2765384615,523500.16
merch1366@oksbi,18.44,34,258338.5264,607427.5099999999
merch13674@ybl,18.821428571428573,38,228516.4382142857,384616.58
merch13685@ybl,17.923076923076923,37,289133.8596153846,468786.62
merch13693@ybl,18.92,36,209334.0172,242806.53
merch13699@ybl,23.0,46,374409.91805555555,614094.89
merch13703@okicici,16.791666666666668,32,83396.465,221897.72000000003
merch13787@axl,10.764705882352942,22,189636.48764705885,316899.6600000001
merch13803@ybl,17.678571428571427,34,360275.61821428576,590165.4600000001
merch13818@oksbi,14.791666666666666,31,44296.768749999996,219589.75
merch13822@axl,14.80952380952381,29,159557.66476190477,293296.74000000005
merch13835@oksbi,20.52,39,182512.67359999998,347782.69999999995
merch13836@okicici,12.826086956521738,26,202804.9647826087,325524.92
merch13857@axl,24.114285714285714,47,88140.012,175503.47
merch13864@oksbi,15.619047619047619,33,226994.55285714287,406989.03
merch1386@axl,13.434782608695652,28,144115.77608695652,238059.93
merch1386@okhdfcbank,15.333333333333334,31,95680.37380952381,129020.72999999998
merch13872@oksbi,16.73913043478261,30,335151.1169565217,537663.51
merch13873@okhdfcbank,25.228571428571428,51,83068.08600000001,181340.43
merch13875@paytm,15.0,28,196470.43857142856,336199.76
merch13877@okicici,23.64864864864865,47,172493.1435135135,423454.6099999999
merch13882@paytm,16.923076923076923,34,139219.29,423401.95000000007
merch13901@oksbi,14.666666666666666,29,201532.5823809524,266284.72000000003
merch13905@ybl,12.85,24,124943.98300000001,237919.89
merch13907@oksbi,19.482758620689655,37,163197.92827586207,454535.26
merch13920@axl,11.25,22,202526.255,422498.52
merch13926@axl,20.5,41,74840.81199999999,222884.81
merch13930@oksbi,19.85,37,158451.25,558775.17
merch13935@okicici,18.962962962962962,36,70759.28666666668,234058.69
merch13937@axl,16.681818181818183,32,202443.98863636365,395394.4
merch13938@okicici,18.0,32,29235.80454545455,138256.5
merch13939@ybl,16.846153846153847,35,98421.01384615384,203706.25000000003
merch13941@ybl,13.894736842105264,29,71347.4047368421,159680.57
merch13943@axl,16.285714285714285,32,152531.63571428572,248728.79
merch13943@okicici,25.0,47,117324.85289473685,228699.77999999997
merch1395@okicici,25.69047619047619,50,271675.8647619047,744251.97
merch13985@ybl,21.125,42,275904.284375,384759.16
merch13996@okicici,22.452380952380953,46,440901.66333333333,780491.71
merch14003@ybl,18.0,34,137473.36727272728,270625.25
merch14012@ybl,20.642857142857142,39,104433.88714285714,509910.22
merch14018@ybl,21.941176470588236,41,261036.3029411765,469789.71
merch14049@paytm,20.484848484848484,41,360639.8621212121,869795.46
merch14057@axl,15.681818181818182,29,200783.8127272727,372488.72
merch14065@axl,11.833333333333334,23,76442.43277777777,163806.79999999996
merch14071@ybl,15.807692307692308,35,47042.67730769231,167117.11000000002
merch14079@okhdfcbank,18.555555555555557,37,95820.0037037037,158165.60999999996
merch14102@paytm,11.933333333333334,23,260890.9146666667,327666.1700000001
merch14105@okicici,19.0,36,291693.6668,470937.29
merch14105@ybl,21.666666666666668,46,307131.1396666666,574363.5
merch14107@oksbi,22.535714285714285,40,576556.0571428571,958153.9300000002
merch14111@paytm,20.962962962962962,37,165026.86222222223,280698.47000000003
merch14117@axl,19.741935483870968,39,89189.65935483872,312890.31000000006
merch14123@oksbi,17.916666666666668,35,147321.7775,212102.02
merch14138@okicici,19.548387096774192,38,267715.88064516126,530071.3699999999
merch14140@okhdfcbank,21.0625,35,62784.863125,91467.74
merch14149@oksbi,16.96153846153846,34,225141.0323076923,356334.33
merch14155@oksbi,14.391304347826088,27,222135.92260869563,519851.04
merch14156@oksbi,18.45,34,345474.135,492877.82
merch1415@paytm,16.96,32,108764.21519999999,198303.8
merch14162@axl,16.642857142857142,36,53986.14964285714,123568.33999999998
merch14181@okicici,14.916666666666666,31,108097.09791666667,404628.47
merch14189@ybl,18.291666666666668,36,283279.1295833333,580015.62
merch14200@axl,20.142857142857142,40,132147.23321428572,291432.03
merch1420@oksbi,21.941176470588236,45,350258.32852941175,640055.9900000001
merch14213@paytm,18.46153846153846,38,316592.85076923075,771354.9900000001
merch14217@ybl,20.125,40,121537.21875,346934.72000000003
merch14222@axl,17.652173913043477,34,243424.1313043478,489604.0
merch14224@oksbi,19.176470588235293,43,62858.55764705882,160000.78
merch14246@oksbi,14.478260869565217,31,95649.88565217392,216853.83
merch14281@okicici,17.153846153846153,37,221558.3876923077,402094.22
merch14286@paytm,19.38095238095238,33,147017.15333333332,355347.85
merch14300@paytm,14.473684210526315,26,138463.0147368421,225811.61
merch14305@okhdfcbank,18.0,35,238020.6447368421,482367.55
merch14317@ybl,15.782608695652174,31,55732.897391304345,121169.04
merch14335@axl,17.185185185185187,35,156391.69407407407,299539.43999999994
merch14336@okicici,19.576923076923077,38,189733.25384615382,258179.97000000003
merch14338@oksbi,14.238095238095237,30,548537.8019047619,751339.44
merch14346@okhdfcbank,9.0,19,52158.148181818186,105582.39
merch1434@ybl,19.344827586206897,36,383143.96862068964,562592.4
merch14368@okicici,12.85,28,290134.75950000004,385192.18000000005
merch14372@axl,17.807692307692307,33,166095.675,331365.48
merch14385@ybl,24.09090909090909,46,350264.63999999996,614978.0899999999
merch14392@paytm,18.2,36,164574.5552,220565.0000000001
merch14394@axl,19.11111111111111,36,111919.19,225919.05000000005
merch14397@axl,20.92,40,190617.27399999998,444672.54
merch1440@okicici,13.72,28,120644.5608,291309.63
merch14418@ybl,16.105263157894736,35,325909.58789473685,614958.51
merch14421@axl,16.47826086956522,31,99077.56999999999,231843.37
merch14423@ybl,22.35483870967742,43,107467.93000000001,216177.69
merch14432@ybl,16.733333333333334,34,132648.02466666666,249001.23
merch1443@axl,24.285714285714285,48,191503.425,633314.13
merch14440@paytm,20.666666666666668,38,205987.54766666665,293107.62
merch14448@ybl,23.571428571428573,47,226020.82964285713,583080.8499999999
merch1445@oksbi,17.304347826086957,31,110901.26173913041,253870.25999999995
merch14487@okicici,21.433333333333334,42,224542.6093333333,327112.3300000001
merch14500@paytm,20.24,38,111065.81199999999,261150.45
merch14510@paytm,15.545454545454545,33,131757.2409090909,321318.43
merch14527@axl,20.642857142857142,40,334351.9328571428,658809.47
merch14536@okicici,21.625,39,48476.71958333333,98762.39
